Day,Week,Focus,Learn (60m),Learn done,Build (100m),Build done,Log (20m),Log done,Status,XP,Reward,Remarks
Day 01 · Repo setup like a company repo,Week 1,Why notebooks don't ship; production repo structure,Why notebooks don't ship; production repo structure,No,"Create capstone repo; move notebook code into src/ modules (data.py, train.py, predict.py)",No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 02 · Code quality tooling,Week 1,"Linting, type hints, pytest basics","Linting, type hints, pytest basics",No,Set up ruff + pytest; write 3 tests for your data code,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 03 · Docker fundamentals,Week 1,"Image vs container, layers, Dockerfile, .dockerignore","Image vs container, layers, Dockerfile, .dockerignore",No,Install Docker; containerize a hello-world script; run / stop / inspect / delete,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 04 · Dockerize your training,Week 1,"Version pinning, slim base images","Version pinning, slim base images",No,Dockerfile that runs train.py and saves a model artifact (fight the dependency errors),No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 05 · FastAPI serving,Week 1,"Why APIs serve models, not scripts","Why APIs serve models, not scripts",No,Build /predict + /health endpoints; test with curl,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 06 · Dockerize API + compose,Week 1,"Container networking, volumes, env vars","Container networking, volumes, env vars",No,docker-compose.yml running API + Postgres together,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 07 · Week 1 review & harden,Week 1,Multi-stage Docker builds,Multi-stage Docker builds,No,Shrink image; add Pydantic validation + error handling; write week postmortem,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,"Full evening off, no screens",
Day 08 · MLflow tracking,Week 2,Why experiment tracking exists,Why experiment tracking exists,No,"MLflow server in compose; instrument train.py; run 5 experiments, compare in UI",No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 09 · MLflow Model Registry,Week 2,Model versioning & the rollback story,Model versioning & the rollback story,No,Register model; stages None->Staging->Production; API loads FROM registry,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 10 · GitHub Actions: CI,Week 2,"Workflow YAML, jobs, runners","Workflow YAML, jobs, runners",No,"PR pipeline: lint + tests; break it on purpose, watch it block the merge",No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 11 · CI for ML,Week 2,Build caching to speed up CI,Build caching to speed up CI,No,"Build Docker image in CI + smoke test (/health 200, /predict valid output)",No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 12 · Secrets & environments,Week 2,Why secrets never live in code,Why secrets never live in code,No,GitHub Secrets; env-specific configs; manual approval step for deploy,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 13 · Branch protection + releases,Week 2,Semantic versioning; what 'release' means,Semantic versioning; what 'release' means,No,Protect main; tag v0.1.0; auto-build versioned image on release,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 14 · Week 2 review & harden,Week 2,Test coverage reporting,Test coverage reporting,No,Refactor Week 1 ugliness via a proper PR; write week postmortem,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,Dinner somewhere you like,
Day 15 · AWS account + IAM done right,Week 3,"IAM users, roles, policies, least privilege","IAM users, roles, policies, least privilege",No,Billing alarm FIRST ($10); create IAM user; configure AWS CLI,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 16 · S3 + ECR,Week 3,"Buckets, prefixes, image registries","Buckets, prefixes, image registries",No,Training data to S3; data.py reads from S3; push image to ECR,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 17 · SageMaker training job,Week 3,"Why managed training: spot, bigger machines","Why managed training: spot, bigger machines",No,Run training as a SageMaker job with your container; artifact lands in S3,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 18 · SageMaker endpoint,Week 3,Endpoint vs ECS cost/latency trade-off,Endpoint vs ECS cost/latency trade-off,No,Deploy real-time endpoint; invoke via boto3; DELETE the endpoint after,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 19 · CD: deploy from Actions,Week 3,OIDC auth GitHub->AWS (no long-lived keys),OIDC auth GitHub->AWS (no long-lived keys),No,Merge to main -> push to ECR -> update endpoint. Zero manual steps,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 20 · Lambda + API Gateway,Week 3,When serverless fits (and when it doesn't),When serverless fits (and when it doesn't),No,"Lambda front door: auth, input validation, logging",No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 21 · Week 3 review & cost teardown,Week 3,CloudWatch logs & metrics,CloudWatch logs & metrics,No,Audit and kill every billable resource; write week postmortem,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,Buy the small thing you've eyed,
Day 22 · Airflow fundamentals,Week 4,"DAGs, operators, retries, idempotency","DAGs, operators, retries, idempotency",No,Run Airflow via compose; build and schedule a toy DAG,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 23 · Retraining DAG,Week 4,"Conditional branching, failure alerts","Conditional branching, failure alerts",No,DAG: pull S3 data -> validate -> train -> evaluate -> promote if better,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 24 · Monitoring & drift,Week 4,Data drift vs concept drift,Data drift vs concept drift,No,Log predictions; Evidently drift report; wire drift check into the DAG,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 25 · Load test & break things,Week 4,Finding bottlenecks,Finding bottlenecks,No,Hit API with locust; find breaking point; fix one bottleneck; postmortem,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 26 · Architecture doc + diagram,Week 4,How to write trade-offs,How to write trade-offs,No,ARCHITECTURE.md: full diagram + every trade-off you made and why,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 27 · Resume rewrite,Week 4,Bullet specificity beats tool lists,Bullet specificity beats tool lists,No,Turn engineering log into 5-6 concrete bullets; polish repo README,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 28 · Interview prep from YOUR system,Week 4,Common MLOps interview questions,Common MLOps interview questions,No,"Write answers (deploy, rollback, drift, why Docker) using your capstone",No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 29 · Buffer: catch up,Week 4,Revisit whatever slipped,Revisit whatever slipped,No,"Fix the thing that broke you (Docker networking or IAM, most likely)",No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,,
Day 30 · Buffer: round 2,Week 4,Consolidate,Consolidate,No,Re-run load test or add a feature via the full PR flow,No,"Engineering log: what broke, why, how you fixed it",No,Queued,0,"Celebrate, then apply to 5 jobs",
